awardID,fiscalYear,currentValue,duns,companyCongCode,performanceCongCode
70CDCR18P00000025,2018,10149,80408824,3708,3708
70CDCR18P00000026,2018,50000,64836799,635,635
70CDCR18P00000027,2018,16153.2,1807549,3102,3102
70CDCR18P00000032,2018,11060,161906193,1198,1100
70CDCR18P00000038,2018,21960,161906193,2106,2106
70CDCR18P00000039,2018,3000,5180273,2504,2504
70CDCR18P00000041,2018,15360,93564180,801,801
70CDCR18P00000042,2018,5563.03,94261935,1214,651
70CDCR18P00000043,2018,60566.08,27287429,1313,4817
70CDCR18P00000044,2018,9998,161906193,2106,2106
70CDCR18P00000045,2018,8440.27,985594574,5504,2406
70CDCR18P00000046,2018,3395.76,68025683,3602,3610
70CDCR18P00000047,2018,156.4,942273863,4820,4820
70CDCR18P00000048,2018,1279008,827821757,5111,5111
70CDCR18P00000049,2018,23749.28,12480808,406,406
70CDCR18P00000050,2018,3997,827839981,1307,1305
70CDCR18P00000051,2018,16320,6911622,3610,1227
70CDCR18P00000056,2018,25426.56,118860779,2004,2004
70CDCR18P00000057,2018,52284.96,99903148,3622,3622
70CDCR18P00000058,2018,4865,246787951,****,4829
70CDCR18P00000059,2018,8000,73739955,3402,3402
70CDCR18P00000061,2018,5145,1376565,3608,4834
70CDCR18P00000062,2018,6180,8172632,1705,1224
70CDCR18P00000063,2018,32592,8188898,2201,2202
70CDCR18P00000064,2018,24500,74811571,5108,5108
70CDCR18P00000065,2018,17104,161906193,2106,1100
70CDCR18P00000066,2018,19411,7242498,2004,2004
70CDCR18P00000067,2018,10001.9,161906193,2106,2106
70CDCR18P00000068,2018,22200,161906193,2106,1808
70CDCR18P00000069,2018,20994.4,1807549,3102,3102
70CDCR18P00000070,2018,46868.04,81075704,3708,3704
70CDCR18P00000071,2018,9809,108608555,3626,3627
70CDCR18P00000074,2018,8000,80942123,3203,3203
70CDCR18P00000075,2018,19492.2,99903148,3622,3622
70CDCR18P00000076,2018,4100,8898884,2505,1100
70CDCR18P00000078,2018,14400,182066402,4816,4816
70CDCR18P00000081,2018,9000,93564180,801,801
70CDCR18P00000083,2018,10626,73695165,3625,3625
70CDCR18P00000084,2018,757.3,612706465,1222,4830
70CDCR18P00000085,2018,655.1,39203740,4902,4830
70CDCR18P00000087,2018,10999.04,68025683,3602,3610
70CDCR18P00000088,2018,8955,783194087,1301,4821
70CDCR18P00000089,2018,49224,73695165,3625,3625
70CDCR18P00000090,2018,13250,92591208,2613,2614
70CDCR18P00000091,2018,32824.8,161906193,1198,1100
70CDCR18P00000092,2018,3568,79090324,4704,4704
70CDCR18P00000093,2018,8708.55,809953081,5507,651
70CDCR18P00000094,2018,4254.86,9657602,646,645
70CDCR18P00000095,2018,27075,79618290,2401,2401
70CDCR18P00000096,2018,36625,6911622,4822,634
70CDCR18P00000097,2018,94513.2,78613913,3612,3627
70CDCR18P00000098,2018,3940,601716475,3411,4834
70CDCR18P00000100,2018,32906.25,1573596,4822,4810
70CDCR18P00000101,2018,8500,20291605,5108,2202
70CDCR18P00000102,2018,2136.76,69118289,619,606
70CDCR18P00000103,2018,10500,942273863,4820,4820
70CDCR18P00000104,2018,43580,3773603,2405,2705
70CDCR18P00000105,2018,3890.88,926918756,1308,1308
70CDCR18P00000106,2018,10907.28,68025683,3602,3613
70CDCR18P00000108,2018,100,3459047,3704,1100
70CDCR18P00000110,2018,13141.44,69118289,617,606
70CDCR18P00000112,2018,8849.49,45281529,4215,648
70CDCR18P00000113,2018,9996.95,161906193,2106,2106
70CDCR18P00000114,2018,10984.5,21522834,3610,3610
70CIT018A00000001,2018,0,615378007,2408,****
70CIT018FC0000001,2018,9898.98,54007823,3704,1100
70CIT018FC0000002,2018,222615,54007823,3704,2408
70CIT018FR0000001,2018,1023568.8,18832795,1809,1809
70CIT018FR0000003,2018,4148,82355652,5111,1100
70CIT018P00000001,2018,29876,146047928,2401,1100
70CIT018P00000002,2018,20000,79410657,4214,1100
70CMSD18A00000001,2018,0,97220180,2705,****
70CMSD18C00000001,2018,278884.4,80747506,5111,4506
70CMSD18C00000003,2018,3579102.91,78825612,5108,4833
70CMSD18D00000001,2018,0,964551386,4208,****
70CMSD18FC0000001,2018,63927.2,54007823,3704,2408
70CMSD18FC0000002,2018,11053.86,54007823,3704,2705
70CMSD18FC0000003,2018,4617.14,54007823,3704,3201
70CMSD18FC0000004,2018,40005,808137546,1214,1214
70CMSD18FC0000005,2018,48168.54,54007823,3704,5108
70CMSD18FC0000006,2018,6320.61,54007823,3704,4708
70CMSD18FC0000007,2018,5575,790801765,2104,1225
70CMSD18FC0000008,2018,5765.68,136155178,5111,5111
70CMSD18FC0000009,2018,9569.28,615378007,2408,2408
70CMSD18FC0000010,2018,10411.95,615378007,2408,2408
70CMSD18FC0000011,2018,2789420.4,966133477,5110,5110
70CMSD18FC0000012,2018,3719227.2,160610809,5111,802
70CMSD18FC0000013,2018,1859613.6,962701632,2408,2408
70CMSD18FC0000014,2018,5578840.8,146389994,3501,3501
70CMSD18FC0000015,2018,4649034,80011988,5111,5111
70CMSD18FC0000016,2018,3450,807680421,606,606
70CMSD18FC0000017,2018,240492.4,615378007,2408,2408
70CMSD18FC0000018,2018,10753.95,615378007,2408,1100
70CMSD18FC0000019,2018,3565.92,615378007,2408,1100
70CMSD18FC0000020,2018,6156.95,615378007,2408,2408
70CMSD18FC0000021,2018,9310.26,615378007,2408,1100
70CMSD18FC0000022,2018,4856.48,615378007,2408,5108
70CMSD18FC0000023,2018,5348.88,615378007,2408,2202
70CMSD18FC0000024,2018,4442.76,615378007,2408,652
70CMSD18FC0000025,2018,5815.14,615378007,2408,2613
70CMSD18FC0000026,2018,4664.2,615378007,2408,2408
70CMSD18FC0000028,2018,20318.88,615378007,2408,3605
70CMSD18FC0000029,2018,32777.7,615378007,2408,2408
70CMSD18FC0000030,2018,8914.8,615378007,2408,1705
70CMSD18FC0000031,2018,5279.85,615378007,2408,4201
70CMSD18FC0000032,2018,6569.34,615378007,2408,2613
70CMSD18FC0000033,2018,16105.28,615378007,2408,2408
70CMSD18FC0000034,2018,10086.37,615378007,2408,2408
70CMSD18FC0000035,2018,3876.76,615378007,2408,3610
70CMSD18FC0000036,2018,4577.48,615378007,2408,3410
70CMSD18FC0000037,2018,5205.41,615378007,2408,5111
70CMSD18FC0000038,2018,4322.73,615378007,2408,2613
70CMSD18FC0000039,2018,23855.37,615378007,2408,1100
70CMSD18FC0000040,2018,9691.9,615378007,2408,2408
70CMSD18FC0000043,2018,4473.28,615378007,2408,2408
70CMSD18FR0000001,2018,39583.21,969770952,1220,1225
70CMSD18FR0000002,2018,37950,1197789,2504,1301
70CMSD18FR0000003,2018,2434,690557624,3411,3411
70CMSD18FR0000004,2018,5504.5,57823684,2506,4830
70CMSD18FR0000006,2018,7425,1197789,2504,4830
70CMSD18FR0000007,2018,579.3,556496370,626,2705
70CMSD18FR0000008,2018,4447,611639688,1213,1213
70CMSD18FR0000009,2018,2997,690557624,3411,4828
70CMSD18FR0000010,2018,19908,825060309,3703,3703
70CMSD18FR0000012,2018,4596.92,78374094,5111,2407
70CMSD18FR0000013,2018,21427.71,80234851,1219,1225
70CMSD18FR0000016,2018,3470,20569067,3611,3000
70CMSD18FR0000017,2018,13788.52,617635735,647,2403
70CMSD18FR0000018,2018,275032.37,964551386,4208,1100
70CMSD18FR0000019,2018,4256.45,690552815,5111,606
70CMSD18FR0000020,2018,5667.36,20149303,617,617
70CMSD18FR0000021,2018,82532.42,79481120,2703,2703
70CMSD18FR0000022,2018,451232,89896737,5110,5110
70CMSD18FR0000023,2018,9320,88692843,2704,2704
70CMSD18FR0000024,2018,8709.64,611639688,1213,5108
70CMSD18FR0000025,2018,173162.72,1408673,2506,4708
70CMSD18FR0000026,2018,15071.93,610342818,3915,3915
70CMSD18FR0000027,2018,9412.1,690552815,5111,4816
70CMSD18FR0000028,2018,17187.5,101753403,617,4833
70CMSD18FR0000029,2018,19651,121701957,652,652
70CMSD18FR0000030,2018,8140,121701957,652,652
70CMSD18FR0000031,2018,4394.68,690552815,5111,5108
70CMSD18FR0000032,2018,35220,122767437,639,639
70CMSD18FR0000034,2018,9720,49591852,5111,1100
70CMSD18FR0000035,2018,4096,690549118,4206,1707
70CMSD18FR0000036,2018,9027.96,968093398,1000,1000
70CMSD18FR0000037,2018,8390,690549118,4206,4816
70CMSD18FR0000039,2018,39930,85698900,1218,1218
70CMSD18FR0000040,2018,5423.1,20149303,617,5108
70CMSD18FR0000041,2018,351625,79481120,2703,2703
70CMSD18FR0000042,2018,9198,690549118,4206,4206
70CMSD18FR0000043,2018,4192,49591852,1198,612
70CMSD18FR0000044,2018,3964.6,690549662,5108,5108
70CMSD18FR0000046,2018,9849.3,690552815,5111,2103
70CMSD18FR0000047,2018,11013.9,166669742,5107,5111
70CMSD18FR0000048,2018,6645,804703973,2404,1100
70CMSD18FR0000050,2018,100000,809887164,5111,1100
70CMSD18FR0000051,2018,163860,121701957,652,652
70CMSD18FR0000052,2018,502289.2,556496370,626,626
70CMSD18FR0000053,2018,329880,33095568,3405,3405
70CMSD18FR0000054,2018,5786,611639688,1213,5108
70CMSD18FR0000055,2018,7555.86,137072729,5110,5111
70CMSD18FR0000056,2018,1258740,33095568,3405,3405
70CMSD18FR0000057,2018,197744.5,166669742,5107,5110
70CMSD18FR0000058,2018,4570.52,617635735,647,4101
70CMSD18FR0000060,2018,299985,166669742,5107,5107
70CMSD18FR0000061,2018,8529.96,690552815,5111,2103
70CMSD18FR0000062,2018,19519,43957141,648,1705
70CMSD18FR0000063,2018,12040.2,92658152,3608,3608
70CMSD18FR0000064,2018,27998.61,1408673,2506,2506
70CMSD18FR0000065,2018,626264.9,113188770,3412,3404
70CMSD18FR0000066,2018,7421.5,166669742,5107,5107
70CMSD18FR0000067,2018,294281,43957141,648,5111
70CMSD18FR0000068,2018,4603.8,690549118,4206,4823
70CMSD18FR0000069,2018,4230471.23,825487130,1198,5108
70CMSD18FR0000070,2018,5189.2,556496370,626,626
70CMSD18FR0000071,2018,15550,20149303,617,5111
70CMSD18FR0000072,2018,7300,932469612,1223,1223
70CMSD18FR0000075,2018,241211,961600272,5105,5105
70CMSD18FR0000077,2018,195888.78,166669742,5107,5107
70CMSD18FR0000079,2018,205710,611639688,1213,5111
70CMSD18FR0000082,2018,6301,690549118,4206,1602
70CMSD18FR0000083,2018,24000,121701957,652,652
70CMSD18FR0000084,2018,15801.18,615378007,2408,2408
70CMSD18FR0000085,2018,10000,603814054,3901,4201
70CMSD18FR0000086,2018,80000,784635021,4709,4824
70CMSD18FR0000089,2018,1200,948396890,5108,5108
70CMSD18FR0000091,2018,75675,166669742,5107,5110
70CMSD18FR0000092,2018,89970.9,166669742,5107,5107
70CMSD18FR0000093,2018,30794,86438152,614,614
70CMSD18FR0000094,2018,249999.5,362130952,618,618
70CMSD18FR0000095,2018,6191.9,166669742,5107,5107
70CMSD18FR0000096,2018,990593.88,831127738,5108,5108
70CMSD18FR0000097,2018,3884.7,28525582,644,3626
70CMSD18FR0000098,2018,3636.32,607775848,5106,2614
70CMSD18FR0000099,2018,4037,879774248,904,904
70CMSD18FR0000100,2018,2548.92,615378007,2408,4201
70CMSD18FR0000101,2018,99173,166669742,5107,5110
70CMSD18FR0000102,2018,27300,121701957,652,652
70CMSD18FR0000105,2018,3929.99,48596811,4207,3410
70CMSD18FR0000107,2018,3600,121701957,652,653
70CMSD18FR0000108,2018,4193.12,690557624,3411,3411
70CMSD18FR0000110,2018,8000,603814054,3901,3901
70CMSD18FR0000111,2018,5595,932469612,1223,1313
70CMSD18FR0000112,2018,8835,230792756,3910,3910
70CMSD18FR0000113,2018,13591.48,166669742,5107,5107
70CMSD18FR0000114,2018,5300.76,132286332,4808,4808
70CMSD18FR0000115,2018,3444,49591852,1198,1707
70CMSD18FR0000116,2018,3324,690549118,4206,2705
70CMSD18FR0000117,2018,802175.09,615378007,2408,2408
70CMSD18FR0000118,2018,61059.75,78374094,5111,5111
70CMSD18FR0000119,2018,4227.36,690557624,3411,3411
