name,minAngle,maxAngle
Blaine,260,350
Portal,190,350
Sweetgrass,190,350
Noyes,190,330
Porthill,200,350
Boundary,250,350
Maida,190,340
Del Bonita,190,350
Laurier,210,350
Eastport,210,350
Frontier,190,350
Sumas,260,350
Vancouver,270,350
Winnipeg,200,330
Calgary,210,330
Shannon,0,0
Edmonton,230,310
Dutch Harbor,40,80
Prince Rupert,NaN,NaN
Ketchikan,0,0
Seaport,120,140
Juneau,120,150
Dalton Cache,110,170
Skagway,120,170
Anchorage,60,190
Alcan,90,200
Poker Creek,120,210
Seaport,320,420
Eagle,130,230
Fairbanks,120,240
