fiscalYear,currentValue,name,duns,multiYear
2018,9809,Fire Safety Systems,108608555,false
2018,8000,Green 320,80942123,false
2018,19492.2,Central Association for the Blind,99903148,true
2018,4100,L3 Technologies,112753194,true
2018,14400,Installation Morale Welfare Recreation Fund,182066402,false
2018,9000,Denver Health and Hospitals Authority,93564180,false
2018,10626,Asso for the Blind and Visually Impaired-Goodwill Industries of Greater Rochester,73695165,true
2018,757.3,Cornell Companies,797470549,false
2018,655.1,Management & Training Corporation,39203740,true
2018,10999.04,Haynes Security,68025683,false
2018,8955,Justice Packaging Corporation,783194087,true
2018,49224,Asso for the Blind and Visually Impaired-Goodwill Industries of Greater Rochester,73695165,true
2018,13250,New Tech Central,92591208,false
2018,32824.8,Federal Prison Industries,626627459,true
2018,3568,Victory Supply,79090324,false
2018,8708.55,Hale Outdoor Products,809953081,false
2018,4254.86,County of Orange,877474973,false
2018,27075,Mil-Comm Group International,79618290,false
2018,36625,ABM Industry Groups,80590937,false
2018,94513.2,Sirona Dental,78613913,false
2018,3940,Autoclear,601716475,false
2018,32906.25,Rita’S Tape Media,1573596,true
2018,8500,National Sheriffs’ Association,20291605,true
2018,2136.76,County of Santa Clara,155922172,true
2018,10500,Pacer Service Center,942273863,true
2018,43580,Brede-Washington,3250552,true
2018,3890.88,Interceptor Public Safety Products,926918756,false
2018,10907.28,Haynes Security,68025683,false
2018,100,Executive Office of the State of North Carolina,872904193,true
2018,13141.44,County of Santa Clara,160530572,false
2018,8849.49,PMA 13,45281529,false
2018,9996.95,Federal Prison Industries,103385519,true
2018,10984.5,New Dimension Awards,21522834,false
2018,,FCN,615378007,true
2018,9898.98,Net Direct Systems,54007823,true
2018,222615,Net Direct Systems,54007823,true
2018,1023568.8,Envisage Technologies,18832795,true
2018,4148,Management Concepts,82355652,true
2018,29876,The Go to Group,146047928,false
2018,20000,Marinus Analytics,79410657,false
2018,,Personnel Decisions Research Institutes,37335296,false
2018,278884.4,Model Concept Communications,80747506,false
2018,3579102.91,Bowhead Communication Services,78825612,false
2018,,Dentrust Dental International,964551386,false
2018,63927.2,Net Direct Systems,54007823,true
2018,11053.86,Net Direct Systems,54007823,true
2018,4617.14,Net Direct Systems,54007823,true
2018,40005,Vastec,808137546,true
2018,48168.54,Net Direct Systems,54007823,true
2018,6320.61,Net Direct Systems,54007823,true
2018,5575,Benefit Planning,790801765,true
2018,5765.68,Escgov,136155178,true
2018,9569.28,FCN,615378007,true
2018,10411.95,FCN,615378007,true
2018,2789420.4,Omniplex World Services,619712672,true
2018,3719227.2,Keypoint Government Solutions,152867235,true
2018,1859613.6,MSM Security Services,33892381,true
2018,5578840.8,ADC LTD NM,146389994,true
2018,4649034,CSRA,79735371,true
2018,3450,Capitol Digital Document Solutions,807680421,true
2018,240492.4,FCN,615378007,true
2018,10753.95,FCN,615378007,true
2018,3565.92,FCN,615378007,true
2018,6156.95,FCN,615378007,true
2018,9310.26,FCN,615378007,true
2018,4856.48,FCN,615378007,true
2018,5348.88,FCN,615378007,true
2018,4442.76,FCN,615378007,true
2018,5815.14,FCN,615378007,true
2018,4664.2,FCN,615378007,true
2018,20318.88,FCN,615378007,true
2018,32777.7,FCN,615378007,true
2018,8914.8,FCN,615378007,true
2018,5279.85,FCN,615378007,true
2018,6569.34,FCN,615378007,true
2018,16105.28,FCN,615378007,true
2018,10086.37,FCN,615378007,true
2018,3876.76,FCN,615378007,true
2018,4577.48,FCN,615378007,true
2018,5205.41,FCN,615378007,true
2018,4322.73,FCN,615378007,true
2018,23855.37,FCN,615378007,true
2018,9691.9,FCN,615378007,true
2018,4473.28,FCN,615378007,true
2018,39583.21,Sixt Rent A Car,969770952,false
2018,37950,V.H. Blackinton & Co.,1197789,true
2018,2434,Kyocera Document Solutions America,64465503,true
2018,5504.5,Strong Group,57823684,true
2018,7425,V.H. Blackinton & Co.,1197789,true
2018,579.3,Anacapa Micro Products,556496370,true
2018,4447,DTC Communications,190828541,true
2018,2997,Kyocera Document Solutions America,64465503,true
2018,19908,NTERONE Corporation,825060309,false
2018,4596.92,FS Partners,78374094,true
2018,21427.71,Dollar Thrifty Automotive Group,611239542,false
2018,3470,Itin Scale Co.,20569067,false
2018,13788.52,Kusar Court Reporters & Legal Services,617635735,false
2018,275032.37,Dentrust Dental International,964551386,false
2018,4256.45,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,5667.36,New Tech Solutions,20149303,true
2018,82532.42,Rimage Corporation,151772530,true
2018,451232,Four Points Technology,89896737,true
2018,9320,Central States Wire Products,88692843,false
2018,8709.64,DTC Communications,190828541,true
2018,173162.72,Thermo Scientific Portable Analytical Instruments,112893131,true
2018,15071.93,Athens Technical Specialists,610342818,false
2018,9412.1,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,17187.5,Hanaps Enterprises,101753403,false
2018,19651,Blue Tech,121701957,true
2018,8140,Blue Tech,121701957,true
2018,4394.68,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,35220,Integrated Parcel Network,122767437,false
2018,9720,Xerox Corporation,39860122,true
2018,4096,Ricoh Usa,43964519,true
2018,9027.96,Sumuri,968093398,true
2018,8390,Ricoh Usa,43964519,true
2018,39930,LRP Publications,85698900,false
2018,5423.1,New Tech Solutions,20149303,true
2018,351625,Rimage Corporation,151772530,true
2018,9198,Ricoh Usa,43964519,true
2018,4192,Xerox Corporation,39860122,true
2018,3964.6,Canon U.S.A.,116194192,true
2018,9849.3,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,11013.9,Panamerica Computers,166669742,true
2018,6645,Human Resources Institute,804703973,true
2018,100000,Thundercat Technology,809887164,true
2018,163860,Blue Tech,121701957,true
2018,502289.2,Anacapa Micro Products,556496370,true
2018,329880,Cellebrite,33095568,true
2018,5786,DTC Communications,190828541,true
2018,7555.86,Singhal & Co,137072729,false
2018,1258740,Cellebrite,33095568,true
2018,197744.5,Panamerica Computers,166669742,true
2018,4570.52,Kusar Court Reporters & Legal Services,617635735,false
2018,299985,Panamerica Computers,166669742,true
2018,8529.96,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,19519,Adaptive Digital Systems,43957141,true
2018,12040.2,Caprice Electronics,92658152,true
2018,27998.61,Thermo Scientific Portable Analytical Instruments,112893131,true
2018,626264.9,Specialty Vehicle Solutions,113188770,false
2018,7421.5,Panamerica Computers,166669742,true
2018,294281,Adaptive Digital Systems,43957141,true
2018,4603.8,Ricoh Usa,43964519,true
2018,4230471.23,Hamilton Enterprises,825487130,false
2018,5189.2,Anacapa Micro Products,556496370,true
2018,15550,New Tech Solutions,20149303,true
2018,7300,C & C International Computers & Consultants,932469612,true
2018,241211,Govsmart,961600272,true
2018,195888.78,Panamerica Computers,166669742,true
2018,205710,DTC Communications,190828541,true
2018,6301,Ricoh Usa,43964519,true
2018,24000,Blue Tech,121701957,true
2018,15801.18,FCN,615378007,true
2018,10000,Government Acquisitions,603814054,true
2018,80000,Data Facts,784635021,false
2018,1200,JTF Business Systems Corporation,948396890,true
2018,75675,Panamerica Computers,166669742,true
2018,89970.9,Panamerica Computers,166669742,true
2018,30794,Technical Communities,86438152,false
2018,249999.5,Palantir Technologies,362130952,true
2018,6191.9,Panamerica Computers,166669742,true
2018,990593.88,Giant Oak,831127738,true
2018,3884.7,International Television,28525582,false
2018,3636.32,Tactical & Survival Specialties,607775848,true
2018,4037,SAI Systems International,879774248,false
2018,2548.92,FCN,615378007,true
2018,99173,Panamerica Computers,166669742,true
2018,27300,Blue Tech,121701957,true
2018,3929.99,Automation Aids,48596811,false
2018,3600,Blue Tech,121701957,true
2018,4193.12,Kyocera Document Solutions America,64465503,true
2018,8000,Government Acquisitions,603814054,true
2018,5595,C & C International Computers & Consultants,932469612,true
2018,8835,Relx,877672683,true
2018,13591.48,Panamerica Computers,166669742,true
2018,5300.76,Blue Fish Worx,132286332,false
2018,3444,Xerox Corporation,39860122,true
2018,3324,Ricoh Usa,43964519,true
2018,802175.09,FCN,615378007,true
2018,61059.75,FS Partners,78374094,true
2018,4227.36,Kyocera Document Solutions America,64465503,true
2018,19402.08,Panamerica Computers,166669742,true
2018,6045,Adaptive Digital Systems,43957141,true
2018,4000,Government Acquisitions,603814054,true
2018,6272.2,FCN,615378007,true
2018,26641.7,Panamerica Computers,166669742,true
2018,4600,C & C International Computers & Consultants,932469612,true
2018,4000,Kyocera Document Solutions America,64465503,true
2018,9148.86,Konica Minolta Business Solutions U.S.A.,626578041,true
2018,15000,New York State Department of Motor Vehicles,806780730,true
2018,5654,Compu Dynamics,118727283,false
2018,4351,APL Access & Security,182546234,true
2018,14300,Asset Security Tracking Recovery,944508394,false
2018,18321.07,Sci,195970504,false
2018,9900,Ace Parking Management,73351538,false
2018,3646,Compu Dynamics,118727283,false
2018,4182,Federal Lock and Safe,622814648,false
2018,5750,Callyo 2009,969239529,false
2018,8329.05,Shore Solutions,968058177,false
2018,12365.67,JDL Digital Systems,165449872,true
2018,14800,City of Mesa,20141404,false
2018,55262.43,Tech Ops Specialty Vehicles,80524318,true
2018,3950,Benchmark Filing & Shelving Systems,9307336,false
2018,17425,Kel-Tech Plastics,27541754,true
2018,21704,Anthony Ibeagha,828604871,true
2018,742022.94,Comprehensive Health Services,87701231,true
2018,2760,Sonitrol Security Services,70622857,false
2018,6152.08,Time Warner Cable Enterprises,790784474,true
2018,4000,Asset Security Tracking Recovery,944508394,false
2018,27380,Cellebrite,33095568,true
2018,3125,Michael C MacQueen,80540981,false
2018,66434,Astrophysics,138619452,false
2018,5932.74,Sentry Air Systems,121016844,false
2018,11000,Government Training Institute,132095394,false
2018,12000,Virginia Polytechnic Institute & State University,3137015,false
2018,8760,Callyo 2009,969239529,false
2018,7999,Seikosoft,96571862,false
2018,6025,Norfolk Safe Company,78689554,false
2018,94800,Heuresis,42557936,false
2018,11818.8,Unlimited Storage,619777097,false
2018,65810,Federal Resources Supply Company,806647801,false
2018,4785,GPS Intelligence,153956417,true
2018,6000,Callyo 2009,969239529,false
2018,7140,Cummins - Allison,5069760,true
2018,19250,Huron Valley Guns,43329327,false
2018,98000,Ernst & Young,95347159,true
2018,25000,Magnet Forensics Usa,80001807,true
2018,13628.7,Point Blank Enterprises,78855857,true
2018,7229,Midwest Rescue Products,168563794,true
2018,12990,Guidance Software,13814426,true
2018,9316,Vound Colorado,79453470,false
2018,206617,Service Works,171852098,false
2018,5100,Callyo 2009,969239529,false
2018,13750,The Highlands Ranch Law Enforcement Training Foundation,126111272,true
2018,4130,Advanced Marketing & Sales Associates,8299393,false
2018,71600,Safari Books Online,623591174,false
2018,6093.78,Weidenbenner Marketing Associates,788828457,true
2018,42265,Caribbean School,90111733,true
2018,11705,The Palmas Academy,792851032,true
2018,4318.5,Harris Corporation,101474992,false
2018,7500,"Seneviratne, Anusha",81154401,false
2018,8207.04,Electronic Risks Consultants,25761714,false
2018,5967.9,Adorama,87403499,true
2018,7996.8,Chainalysis,79827246,true
2018,9875.64,JTF Business Systems Corporation,948396890,true
2018,11899.52,Amazon.Com,128990368,false
2018,5000,Acams,556820459,true
2018,13090,Kel-Tech Plastics,27541754,true
2018,5995,Adorama,87403499,true
2018,20087.22,L3 Technologies,192372860,true
2018,7202,Sandoval Custom Creations,958313769,true
2018,20000,Trimech Solutions,14197144,false
2018,4832000,Harris Corporation,184575108,false
2018,5840,Research Electronics International,101760734,false
2018,46945,Tenergy Corporation,799056143,false
2018,3775.36,Atlantic Diving Supply,27079776,true
2018,6940,Amped Software,80040706,false
2018,24260.28,Fedcap Rehabilitation Services,71017115,false
2018,76498.25,Spot,5029718,false
2018,525,"Crime Information Center, Arkansas",96873760,true
2018,6417.12,Alert Holdings Group,33174293,true
2018,3600,Marquis Consulting Services,134120422,false
2018,8487.04,Atlantic Diving Supply,27079776,true
2018,5831.59,Bahfed,78277396,true
2018,5521.95,Cummins - Allison,5069760,true
2018,5487.58,Caprice Electronics,92658152,true
2018,23898.72,Progend,968908124,false
2018,5775,Digital Intelligence,85783707,true
2018,10657.7,Young Scale Co.,60643533,false
2018,16800,Cowboy Streetlight Concealments,85189089,false
2018,5280,Callyo 2009,969239529,false
2018,8000,Safer Society Group Sweden,350663899,false
2018,5710.74,CDW Government,26157235,true
2018,10210,Sandoval Custom Creations,958313769,true
2018,9659.31,Advanced Defense Technologies,783014954,false
2018,,Vista Outdoor Sales,79331239,true
2018,23389.17,Umbc Training Centers,198350394,false
2018,3615.12,Linkedin Corporation,129133893,false
2018,4761.65,Benefit Planning,790801765,true
2018,4326,Allclear Id,790818772,true
2018,130010.68,Atlantic Diving Supply,27079776,true
2018,30613.45,Atlantic Diving Supply,27079776,true
2018,106000,JDG Associates,624408167,true
2018,1776.62,Price Modern,3073525,true
2018,9604.7,Atlantic Diving Supply,27079776,true
2018,471096.64,M. L. Benjamin Enterprises,194508131,true
2018,110413.1,Knight’S Armament Company,54038138,true
2018,193911.3,Price Modern,3073525,true
2018,182746.55,Price Modern,3073525,true
2018,56815,Atlantic Diving Supply,27079776,true
2018,192202.04,Atlantic Diving Supply,27079776,true
2018,115422.3,Herman Miller,6012801,false
2018,179089.92,Knight’S Armament Company,54038138,true
2018,19353.6,Atlantic Diving Supply,27079776,true
2018,235220,Atlantic Diving Supply,27079776,true
2018,23160.26,Price Modern,3073525,true
2018,321966.68,Price Modern,3073525,true
2018,101441.97,Price Modern,3073525,true
2018,170325.35,Price Modern,3073525,true
2018,15228.21,Price Modern,3073525,true
2018,1168999.5,Grant Thornton,128159105,true
2018,6707.4,Price Modern,3073525,true
2018,9724,Benefit Planning,790801765,true
2018,5038,Price Modern,3073525,true
2018,183628.22,Price Modern,3073525,true
2018,252992.06,Price Modern,3073525,true
2018,56684,Atlantic Diving Supply,27079776,true
2018,134696,Atlantic Diving Supply,27079776,true
2018,10000,Red Carrot,31689583,true
2018,11500,Atlantic Diving Supply,27079776,true
2018,5175,Benefit Planning,790801765,true
2018,11239.16,Price Modern,3073525,true
2018,3008,Atlantic Diving Supply,27079776,true
2018,87841.41,Price Modern,3073525,true
2018,4822.27,Price Modern,3073525,true
2018,9824.1,Price Modern,3073525,true
2018,11290.88,Price Modern,3073525,true
2018,10336,Price Modern,3073525,true
