lat,lon,detloc,name,city,state
42.765657,-73.811738,ALBHOLD,ALBANY HOLD ROOM,LATHAM,NY
29.312671,-100.418822,KINNETX,KINNEY COUNTY DETENTION CENTER,BRACKETTVILLE,TX
36.068332,-79.402085,ALAMCNC,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC
32.204286,-95.853849,ATTHOLD,"ATHENS, TX HOLD ROOM",ATHENS,TX
38.882014,-78.505681,SHECOVA,SHENANDOAH COUNTY JAIL,WOODSTOCK,VA
30.710675,-91.356745,PTCOULA,POINTE COUPEE PARISH DETENTION CENTER,NEW ROADS,LA
40.801756,-83.511969,PASSANJ,PASSAIC COUNTY JAIL,PATERSON,NJ
41.104026,-80.654127,MAHONOH,MAHONING COUNTY JAIL,YOUNGSTOWN,OH
40.261109,-103.801371,LOGANCO,LOGAN COUNTY JAIL,STERLING,CO
29.596837,-89.823993,PLAQULA,PLAQUEMINES PARISH DETENTION,BRAITHWAITHE,LA
46.235098,-112.121462,JEFFEMT,JEFFERSON COUNTY DETENTION CENTER,BOULDER,MT
38.844127,-76.991658,SEH,ST. ELIZABETH'S HOSPITAL (DC),WASHINGTON,DC
39.17093,-91.819644,AUDRNMO,AUDRAIN COUNTY JAIL,MEXICO,MO
33.400604,-110.795769,GILAJAZ,GILA COUNTY JAIL,GLOBE,AZ
47.665364,-117.427902,SPOKAWA,SPOKANE COUNTY,SPOKANE,WA
33.78238,-117.865078,STJOSCA,ST. JOSEPHS HOSPITAL,ORANGE,CA
29.351304,-99.140763,MEDINTX,MEDINA COUNTY JAIL,HONDO,TX
44.963612,-92.721367,STCROWI,ST. CROIX COUNTY JAIL,HUDSON,WI
35.154603,-89.864619,BOPMEM,MEMPHIS FEDERAL CORRECTIONAL INSTITUTE,MEMPHIS,TN
26.181281,-97.685077,HSF,HARLINGEN STAGING FACILITY,HARLINGEN,TX
40.13078,-79.533829,CTBRICC,BRIDGEPORT CORRECTIONAL CENTER,BRIDGEPORT,CT
42.749834,-95.554623,CHEROIA,CHEROKEE COUNTY SHERIFF'S OFFICE,CHEROKEE,IA
40.998975,-80.337855,LAWREPA,LAWRENCE COUNTY CORRECTIONS,NEW CASTLE,PA
31.056697,-97.464853,BELCOTX,BELL COUNTY JAIL,BELTON,TX
42.200055,-97.52742,PIERCNE,PIERCE COUNTY JAIL,PIERCE,NE
38.070172,-103.257398,BENTCCO,BENT COUNTY JAIL,LAS ANIMAS,CO
37.75373,-100.002434,FORDJKS,FORD COUNTY JAIL,DODGE CITY,KS
45.515284,-122.676087,POOHOLD,PORTLAND DISTRICT OFFICE,PORTLAND,OR
43.665247,-116.682409,HAILEID,DALE G. HAILE DETENTION CENTER,CALDWELL,ID
44.629837,-123.097959,LINNCOR,LINN CO JAIL,ALBANY,OR
42.015525,-95.358178,CRAWFIA,CRAWFORD COUNTY JAIL,DENISON,IA
37.112245,-101.001097,SEWARKS,SEWARD COUNTY JAIL,LIBERAL,KS
34.049613,-117.261205,LLUMCCA,LOMA LINDA UNIVERSITY MED CENTER,LOMA LINDA,CA
41.432195,-97.315319,PLATTNE,PLATTE COUNTY JAIL (NEBRASKA),COLUMBUS,NE
42.168752,-92.024169,BENTOIA,BENTON COUNTY JAIL,VINTON,IA
30.863809,-91.01898,EFELILA,EAST FELICIANA PARISH PRISON,CLINTON,LA
45.441255,-105.408322,POWDRMT,POWDER RIVER COUNTY JAIL,BROADUS,MT
43.403075,-94.836609,EMMETIA,EMMET COUNTY JAIL,ESTHERVILLE,IA
41.235576,-103.663049,KIMBANE,KIMBALL COUNTY JAIL,KIMBALL,NE
27.637594,-82.539885,MANATFL,MANATEE COUNTY DETENTION-ANNEX,PALMETTO,FL
37.153343,-98.029973,HARPEKS,HARPER COUNTY JAIL,ANTHONY,KS
31.993865,-102.076837,MIDLATX,MIDLAND COUNTY DETENTION CENTER,MIDLAND,TX
28.978371,-96.646614,JACKSTX,JACKSON COUNTY JAIL,EDNA,TX
