county,link,name,state,lat,long,geocoded-address,found
Versailles,http://www.seidata.com/~lchandle/osgood.html,Osgood Journal,Indiana,39.0710752,-85.2527719,"115 S Washington St, Versailles, IN 47042, USA",Match
Peru,http://www.miamicountylife.com/perutribune/default.stm,The Peru Tribune,Indiana,40.7526897,-86.0695139,"26 W 3rd St, Peru, IN 46970, USA",Match
Logansport,http://www.pharostribune.com/,Pharos-Tribune,Indiana,40.75412,-86.3631236,"517 E Broadway, Logansport, IN 46947, USA",Match
Plymouth,http://www.thepilotnews.com/,The Pilot News,Indiana,41.341419,-86.3088321,"214 N Michigan St, Plymouth, IN 46563, USA",Match
Columbia City,http://www.thepostandmail.com/,The Post & Mail,Indiana,41.170409,-85.509577,"927 W Connexion Way, Columbia City, IN 46725, USA",Match
Gary,http://www.post-trib.com/,Post-Tribune,Indiana,41.4459387,-87.3639547,"2100 N Main St #212, Crown Point, IN 46307, USA",Match
West Lafayette,http://www.purdueexponent.org/,Purdue Exponent,Indiana,40.429008,-86.911086,"460 Northwestern Ave 2nd floor, West Lafayette, IN 47906, USA",Match
Martinsville,http://reporter-times.com/,Reporter-Times,Indiana,39.4261709,-86.427614,"60 S Jefferson St, Martinsville, IN 46151, USA",Match
Columbus,http://www.therepublic.com/,The Republic,Indiana,39.2277244,-85.8982732,"2980 N National Rd a, Columbus, IN 47201, USA",Match
Rochester,http://www.rochsent.com/,The Rochester Sentinel,Indiana,41.0661904,-86.2149302,"118 E 8th St, Rochester, IN 46975, USA",Match
Sheridan,http://www.sheridannews.net/,The Sheridan News,Indiana,44.799291,-106.953543,"144 E Grinnell St, Sheridan, WY 82801, USA",Match
Shelbyville,http://www.shelbynews.com/,The Shelbyville News,Indiana,39.5240253,-85.7739508,"123 E Washington St, Shelbyville, IN 46176, USA",Match
South Bend,http://www.southbendtribune.com/,South Bend Tribune,Indiana,41.6780952,-86.2529933,"225 W Colfax Ave, South Bend, IN 46626, USA",Match
Muncie,http://www.thestarpress.com/,The Star Press,Indiana,40.1914949,-85.3882728,"345 S High St, Muncie, IN 47305, USA",Match
Munster,http://www.thetimesonline.com/,The Times,Indiana,41.542413,-87.513486,"601 45th St, Munster, IN 46321, USA",Match
Bedford,http://www.tmnews.com/,The Times-Mail,Indiana,38.861107,-86.481799,"813 16th St, Bedford, IN 47421, USA",Match
Rehoboth,http://www.CapeGazette.com/,Cape Gazette,Delaware,38.7455608,-75.1855281,"17585 Nassau Commons Blvd, Lewes, DE 19958, USA",Match
Rehoboth,http://www.delmarvaheadlines.com/delawarecoastpress/,Delaware Coast Press,Delaware,38.7152619,-75.0884505,"Rehoboth Ave, Rehoboth Beach, DE 19971, USA",Partial Match
Dover,http://delaware.newszap.com/delawarestatenews/,Delaware State News,Delaware,39.1408179,-75.4722181,"110 Galaxy Dr, Dover, DE 19903, USA",Match
Dover,http://www.doverpost.com/,Dover Post,Delaware,39.1558318,-75.491959,"1196 S Little Creek Rd, Dover, DE 19901, USA",Match
Wilmington,http://www.ncbl.com/,New Castle Business Ledger,Delaware,39.7390721,-75.5397878,"Wilmington, DE, USA",Partial Match
Newark,http://www.ncbl.com/post/,Newark Post,Delaware,39.6846047,-75.7449632,"218 E Main St # 109, Newark, DE 19711, USA",Match
Wilmington,http://www.delawareonline.com/,The News Journal,Delaware,39.6954716,-75.599372,"950 West Basin Rd, New Castle, DE 19720, USA",Match
Bethany Beach,http://www.delmarvaheadlines.com/delawarewave/,The Wave,Delaware,38.5494249,-75.0669552,"RR 1, Bethany Beach, DE 19930, USA",Match
Tallahassee,http://www.flpress.com/,Florida Press Association,Florida,30.4408271,-84.2786267,"336 E College Ave #201, Tallahassee, FL 32301, USA",Match
Apalachicola,http://www.apalachtimes.com/,Apalachicola Times,Florida,29.7288477,-84.9847615,"129 Commerce St, Apalachicola, FL 32320, USA",Match
Macclenny,http://www.bcstandard.com/,The Baker County Standard,Florida,30.2813068,-82.1222325,"104 S 5th St, Macclenny, FL 32063, USA",Match
Boca Raton,http://www.bastapinoy.com/,Basta Pinoy,Florida,26.335429,-80.0897125,"1600 S Dixie Hwy, Boca Raton, FL 33432, USA",Match
Jacksonville,http://www.beachesleader.com/,The Beaches Leader,Florida,30.2874701,-81.4039679,"1372 Beach Blvd, Jacksonville Beach, FL 32250, USA",Match
Boca Grande,http://www.bocabeacon.com/,Boca Beacon,Florida,26.7509342,-82.262191,"431 Park Ave, Boca Grande, FL 33921, USA",Match
Boca Raton,http://www.bocaratonnews.com/,Boca Raton News,Florida,26.3686009,-80.0867528,"141NW 20th Street suite B5, Boca Raton, FL 33431, United States",Match
Warsaw,http://www.timeswrsw.com/,Times-Union,Indiana,41.2372545,-85.8555635,"123 E Market St, Warsaw, IN 46580, USA",Match
Batesville,http://www.tbonews.com/,Today in Batesville & Oldenburg,Indiana,39.339773,-85.2044063,"Oldenburg, IN, USA",Partial Match
Terre Haute,http://www.tribstar.com/,Tribune-Star,Indiana,39.4636813,-87.4061086,"222 S 7th St, Terre Haute, IN 47807, USA",Match
Zionsville,http://www.timessentinel.com/,Times Sentinel,Indiana,39.9494267,-86.2603969,"250 S Elm St, Zionsville, IN 46077, USA",Match
Versailles,http://www.seidata.com/~lchandle/repub.html,Versailles Republican,Indiana,39.0719988,-85.2519035,"Versailles, IN 47042, USA",Partial Match
Vincennes,http://www.vincennes.com/,Vincennes Sun-Commercial,Indiana,38.6759038,-87.5280649,"702 Main St, Vincennes, IN 47591, USA",Match
Wabash,http://www.wabashplaindealer.com/,Wabash Plain Dealer,Indiana,40.7954996,-85.8233552,"123 W Canal St, Wabash, IN 46992, USA",Match
Washington,http://www.zwire.com/news/newslist.cfm?brd=1422,Washington Times-Herald,Indiana,38.6579429,-87.1740866,"102 E Van Trees St, Washington, IN 47501, USA",Match
Aspen,http://www.aspendailynews.com/,Aspen Daily News,Colorado,39.1897875,-106.8162894,"625 E Main St Ste.: 204, Aspen, CO 81611, USA",Match
Aspen,http://www.aspentimes.com/,The Aspen Times,Colorado,39.1893114,-106.8203292,"314 E Hyman Ave #101, Aspen, CO 81611, USA",Match
Aurora,http://www.aurorasentinel.com/,Aurora Sentinel,Colorado,39.6737085,-104.8461556,"12100 E Iliff Ave Suite 102, Aurora, CO 80014, USA",Match
Boulder,http://www.bcbr.com/,The Boulder County Business Report,Colorado,40.0341306,-105.2320057,"3200 Airport Rd, Boulder, CO 80301, USA",Match
Boulder,http://www.boulderweekly.com/,Boulder Weekly,Colorado,39.9837858,-105.2477549,"690 S Lashley Ln, Boulder, CO 80305, USA",Match
Broomfield,http://www.broomfieldnews.com/,Broomfield Enterprise,Colorado,39.9154019,-105.0835218,"7630 US-287, Broomfield, CO 80020, USA",Match
Colorado Springs,http://www.csbj.com/,Business Journal,Colorado,38.8299066,-104.8214176,"235 S Nevada Ave, Colorado Springs, CO 80903, USA",Match
Conifer,http://www.evergreenco.com/canyoncourier/,Canyon Courier,Colorado,39.6372678,-105.3166307,"27902 Meadow Dr # 200, Evergreen, CO 80439, USA",Match
Fort Collins,http://www.coloradoan.com/,The Coloradoan,Colorado,40.5852602,-105.084423,"Fort Collins, CO, USA",Match
Cortez,http://www.cortezjournal.com/,The Cortez Journal,Colorado,37.3487801,-108.5855762,"8 W Main St, Cortez, CO 81321, USA",Match
Naples,http://www.bonitanews.com/,Bonita Daily News,Florida,26.3568491,-81.8071263,"26381 S Tamiami Trail # 116, Bonita Springs, FL 34134, USA",Match
Bradenton,http://www.bradentonherald.com/,Bradenton Herald,Florida,27.4971366,-82.5728072,"1111 3rd Ave W, Bradenton, FL 34205, USA",Match
Starke,http://www.bctelegraph.com/,Bradford County Telegraph,Florida,29.9444853,-82.1103696,"131 W Call St, Starke, FL 32091, USA",Match
Jacksonville,http://jacksonville.bcentral.com/jacksonville/,The Business Journal,Florida,30.3271565,-81.661021,"200 W Forsyth St, Jacksonville, FL 32202, USA",Match
Fort Myers,http://www.businessnewsnow.com/,Business News Now,Florida,26.6405743,-81.8639458,"2442 Dr Martin Luther King Jr Blvd, Fort Myers, FL 33901, USA",Match
Cape Coral,http://www.flguide.com/pages/breeze/breeze.html,Cape Coral Daily Breeze,Florida,26.6058027,-81.941769,"2510 Del Prado Blvd S, Cape Coral, FL 33904, USA",Match
Cedar Key,http://www.cedarkeybeacon.com/,Cedar Key Beacon,Florida,29.1397168,-83.0387946,"951 Whiddon Ave, Cedar Key, FL 32625, USA",Match
Port Charlotte,http://www.sun-herald.com/,Charlotte Sun Herald,Florida,26.9661413,-82.0680261,"23170 Harbor View Rd, Port Charlotte, FL 33980, USA",Match
Crystal River,http://www.chronicleonline.com/,Citrus County Chronicle,Florida,28.88658,-82.539266,"1624 N Meadowcrest Blvd, Crystal River, FL 34450, USA",Match
Coral Gables,http://www.cggazette.com/,Coral Gables Gazette,Florida,25.7539012,-80.262558,"2051 S Le Jeune Rd, Coral Gables, FL 33134, USA",Match
Crestview,http://www.crestviewnews.com/,Crestview News Leader,Florida,30.767993,-86.5676609,"638 N Ferdon Blvd, Crestview, FL 32536, USA",Match
Leesburg,http://www.dailycommercial.com/,The Daily Commercial,Florida,28.811866,-81.873316,"142 N Canal St, Leesburg, FL 34748, USA",Match
The Villages,http://www.thevillagesdailysun.com/,Daily Sun,Florida,28.9410528,-81.9495184,"1100 Main St, Lady Lake, FL 32159, USA",Match
Honolulu,http://www.downtownplanet.com,Downtown Planet,Hawaii,21.3096187,-157.8599592,"Downtown, Honolulu, HI, USA",Partial Match
Honolulu,http://www.enewshawaii.com,eNewsHawaii,Hawaii,21.3226799,-157.878459,"420 Waiakamilo Rd, Honolulu, HI 96817, USA",Partial Match
